node_id,lat,lon,type,type_num
5453b63355474a3362317270,3.537236,48.23194,road,1
5453b63355474a3362317271,2.395554,49.049663,road,1
5453b63355474a3362317272,1.656304,49.051879,road,1
5453b63355474a3362317273,2.091533,49.055887,road,1
5453b63355474a3362317274,2.146181,49.05649,road,1
5453b63355474a3362317276,1.932322,48.230408,road,1
5453b63355474a3362317277,3.622408,48.23356,road,1
5453b63355474a3362317278,2.025542,49.055325,road,1
5453b63355474a3362317279,2.106258,48.23182,road,1
5453b63355474a336231727a,1.840376,49.219646,road,1
5453b63355474a336231727b,2.276407,48.972907,road,1
5453b63355474a336231727c,2.205848,49.051158,road,1
5453b63355474a336231727e,2.369784,48.962756,road,1
5453b63355474a336231727f,3.201514,49.024692,road,1
5453b63355474a3362317280,2.702358,48.94653,road,1
5453b63355474a3362317281,2.215284,48.755009,road,1
5453b63355474a3362317282,2.350543,48.755834,road,1
5453b63355474a3362317283,2.48334,48.75655,road,1
5453b63355474a3362317284,2.105652,48.231999,road,1
5453b63355474a3362317285,3.530052,49.023767,road,1
5453b63355474a3362317286,2.443926,48.260794,road,1
5453b63355474a3362317287,1.598164,48.790723,road,1
5453b63355474a3362317288,2.064292,48.795255,road,1
5453b63355474a336231728a,2.146995,48.771844,train,2
5453b63355474a336231728b,2.291576,48.879309,road,1
5453b63355474a336231728c,2.195164,48.676121,road,1
5453b63355474a336231728d,2.321658,48.879533,road,1
5453b63355474a336231728e,2.18642,48.878699,road,1
5453b63355474a336231728f,2.847309,48.939743,road,1
5453b63355474a3362317290,2.290831,48.87948,road,1
5453b63355474a3362317291,2.142981,48.878423,road,1
5453b63355474a3362317292,2.298275,48.714195,road,1
5453b63355474a3362317293,2.059178,48.457236,road,1
5453b63355474a3362317294,1.719228,48.992781,road,1
5453b63355474a3362317295,2.45945,48.779756,metro,3
5453b63355474a3362317296,1.999007,49.029074,road,1
5453b63355474a3362317297,2.230871,48.740645,train,2
5453b63355474a3362317298,1.734271,48.992873,road,1
5453b63355474a3362317299,2.321749,48.934617,tram,5
5453b63355474a336231729a,2.301292,48.839578,metro,3
5453b63355474a336231729b,2.30281,48.842614,road,1
5453b63355474a336231729c,2.110654,48.841416,road,1
5453b63355474a336231729d,2.102041,48.841356,road,1
5453b63355474a336231729e,2.098844,48.841346,road,1
5453b63355474a336231729f,2.308012,48.841512,metro,3
5453b63355474a33623172a0,1.792195,49.21907,road,1
5453b63355474a33623172a1,2.527771,48.667392,road,1
5453b63355474a33623172a2,1.572478,48.659792,road,1
5453b63355474a33623172a3,2.326959,48.666405,road,1
5453b63355474a33623172a5,2.352779,48.741737,tram,5
5453b63355474a33623172a6,2.22797,48.643325,road,1
5453b63355474a33623172a7,2.898285,48.64577,road,1
5453b63355474a33623172a8,3.403801,48.645115,road,1
5453b63355474a33623172a9,3.507063,48.644698,road,1
5453b63355474a33623172aa,2.446533,48.746253,road,1
5453b63355474a33623172ab,2.298005,49.147819,road,1
5453b63355474a33623172ac,2.260102,48.745158,road,1
5453b63355474a33623172ad,1.963685,48.742953,road,1
5453b63355474a33623172ae,3.108419,49.149692,road,1
5453b63355474a33623172af,2.264984,48.834203,road,1
5453b63355474a33623172b0,2.386714,48.886963,metro,3
5453b63355474a33623172b1,2.962207,49.236639,road,1
5453b63355474a33623172b2,1.616013,48.328772,road,1
5453b63355474a33623172b3,2.55052,48.633074,road,1
5453b63355474a33623172b4,1.756917,48.465239,road,1
5453b63355474a33623172b5,2.705788,48.735913,road,1
5453b63355474a33623172b6,1.727265,48.468056,road,1
5453b63355474a33623172b7,1.994216,48.709375,road,1
5453b63355474a33623172b8,1.515721,49.171877,road,1
5453b63355474a33623172b9,2.394439,48.640438,road,1
5453b63355474a33623172ba,2.153246,48.832736,road,1
5453b63355474a33623172bb,2.268138,48.639805,road,1
5453b63355474a33623172bc,2.391629,48.712252,road,1
5453b63355474a33623172bd,2.441963,48.71253,road,1
5453b63355474a33623172be,2.393747,48.640452,road,1
5453b63355474a33623172c0,2.403989,48.712247,road,1
5453b63355474a33623172c1,2.363494,48.833351,road,1
5453b63355474a33623172c2,2.518902,48.834086,road,1
5453b63355474a33623172c3,2.413008,48.83369,road,1
5453b63355474a33623172c4,1.574231,48.442666,road,1
5453b63355474a33623172c5,2.629261,48.834371,road,1
5453b63355474a33623172c6,3.639002,48.449384,road,1
5453b63355474a33623172c7,2.303172,48.78546,road,1
5453b63355474a33623172c8,2.448317,48.786222,road,1
5453b63355474a33623172c9,2.402075,48.833393,road,1
5453b63355474a33623172ca,1.463151,48.363624,road,1
5453b63355474a33623172cb,1.445764,48.440823,road,1
5453b63355474a33623172cc,2.391776,48.786038,road,1
5453b63355474a33623172cd,1.962022,48.783051,road,1
5453b63355474a33623172ce,2.363818,48.73968,road,1
5453b63355474a33623172cf,2.14522,48.427443,train,2
5453b63355474a33623172d0,1.948279,48.347221,road,1
5453b63355474a33623172d1,2.645904,48.860408,road,1
5453b63355474a33623172d2,2.260446,48.474611,road,1
5453b63355474a33623172d3,1.974839,48.347278,road,1
5453b63355474a33623172d4,2.641829,48.351159,road,1
5453b63355474a33623172d5,3.224041,48.465359,road,1
5453b63355474a33623172d6,2.43172,48.464259,road,1
5453b63355474a33623172d7,1.559971,48.342839,road,1
5453b63355474a33623172d8,3.133795,48.351504,road,1
5453b63355474a33623172d9,1.98824,48.851061,road,1
5453b63355474a33623172da,2.574801,48.854641,road,1
5453b63355474a33623172db,2.293183,48.859025,road,1
5453b63355474a33623172dc,2.672563,48.860651,road,1
5453b63355474a33623172dd,2.323834,48.859166,road,1
5453b63355474a33623172de,2.344423,48.853628,road,1
5453b63355474a33623172df,2.016391,48.856957,road,1
5453b63355474a33623172e0,2.232743,48.863761,road,1
5453b63355474a33623172e1,2.267107,48.863985,road,1
5453b63355474a33623172e2,2.48246,48.87431,road,1
5453b63355474a33623172e3,2.444669,48.87415,road,1
5453b63355474a33623172e4,2.359559,48.864646,road,1
5453b63355474a33623172e5,2.623049,48.86577,road,1
5453b63355474a33623172e6,2.301556,48.864286,road,1
5453b63355474a33623172e7,2.440384,48.874206,road,1
5453b63355474a33623172e8,2.358337,48.873732,road,1
5453b63355474a33623172e9,1.478633,48.48425,road,1
5453b63355474a33623172ea,2.3195,48.864299,road,1
5453b63355474a33623172eb,2.564361,48.865499,road,1
5453b63355474a33623172ec,1.447805,48.781111,road,1
5453b63355474a33623172ed,2.795482,48.83349,road,1
5453b63355474a33623172ee,3.397749,48.89619,road,1
5453b63355474a33623172ef,2.513589,48.997322,road,1
5453b63355474a33623172f0,1.700878,48.826685,road,1
5453b63355474a33623172f1,2.89374,48.998279,road,1
5453b63355474a33623172f2,2.419395,48.996989,road,1
5453b63355474a33623172f3,2.51739,48.997427,road,1
5453b63355474a33623172f4,2.181981,48.995659,road,1
5453b63355474a33623172f5,2.793153,48.998291,road,1
5453b63355474a33623172f6,2.082315,48.89342,road,1
5453b63355474a33623172f7,1.808823,48.992616,road,1
5453b63355474a33623172f8,1.731323,48.976357,road,1
5453b63355474a33623172f9,2.621045,48.982373,road,1
5453b63355474a33623172fa,2.443618,48.981686,road,1
